report_date,project,section,display_order,analysis_text
2026-05-18,项目A,今日行动建议,3,1. 检查 BR 的 eCPM 是否持续下降；2. 确认 android 端最新版本 v1.4.69 的留存数据；3. 评估 Facebook BR 投放渠道的 ROI 是否需要调整出价。
2026-05-19,项目A,核心指标总览,1,"今日 DAU 57,446，环比-4.9%；营收 $4,525.69（广告 $1,810.28 + IAP $2,715.41），环比+1.4%；ARPDAU $0.0788；eCPM $11.29；首日留存 35.2%，7日留存 13.8%。"
2026-05-19,项目A,关键变化解读,2,今日主要变化：美国市场 IAP 收入环比增长 8%。建议重点关注 IN 市场的 eCPM 变化，可能与 新版本上线 有关。整体趋势需关注，建议明天重点排查数据波动原因。
2026-05-19,项目A,今日行动建议,3,1. 检查 IN 的 ARPU 是否持续下降；2. 确认 ios 端最新版本 v2.7.15 的留存数据；3. 评估 TikTok IN 投放渠道的 ROI 是否需要调整出价。
2026-05-20,项目A,核心指标总览,1,"今日 DAU 59,104，环比-2.3%；营收 $4,545.89（广告 $1,818.36 + IAP $2,727.53），环比-3.6%；ARPDAU $0.0769；eCPM $10.60；首日留存 34.0%，7日留存 10.3%。"
2026-05-20,项目A,关键变化解读,2,今日主要变化：印度市场新增用户量持续放大但 ARPDAU 偏低。建议重点关注 US 市场的 ARPDAU 变化，可能与 周末效应 有关。整体趋势需关注，建议明天重点排查数据波动原因。
2026-05-20,项目A,今日行动建议,3,1. 检查 US 的 D7 留存 是否持续下降；2. 确认 android 端最新版本 v3.5.35 的留存数据；3. 评估 Google Ads US 投放渠道的 ROI 是否需要调整出价。
2026-05-21,项目A,核心指标总览,1,"今日 DAU 55,616，环比+2.9%；营收 $4,533.62（广告 $1,813.45 + IAP $2,720.17），环比+2.4%；ARPDAU $0.0815；eCPM $9.57；首日留存 34.4%，7日留存 10.1%。"
2026-05-21,项目A,关键变化解读,2,今日主要变化：巴西市场广告收入环比下降 5%，需关注填充率。建议重点关注 PH 市场的 ARPDAU 变化，可能与 竞品活动影响 有关。整体趋势需关注，建议明天重点排查数据波动原因。
2026-05-21,项目A,今日行动建议,3,1. 检查 BR 的 eCPM 是否持续下降；2. 确认 ios 端最新版本 v3.6.2 的留存数据；3. 评估 Facebook BR 投放渠道的 ROI 是否需要调整出价。
2026-05-22,项目A,核心指标总览,1,"今日 DAU 58,939，环比-3.7%；营收 $4,630.91（广告 $1,852.36 + IAP $2,778.55），环比+2.3%；ARPDAU $0.0786；eCPM $9.27；首日留存 36.1%，7日留存 11.4%。"
2026-05-22,项目A,关键变化解读,2,今日主要变化：eCPM 连续第3天上升，激励视频位表现突出。建议重点关注 PH 市场的 eCPM 变化，可能与 新版本上线 有关。整体趋势需关注，建议明天重点排查数据波动原因。
2026-05-22,项目A,今日行动建议,3,1. 检查 IN 的 ARPU 是否持续下降；2. 确认 android 端最新版本 v1.3.65 的留存数据；3. 评估 TikTok IN 投放渠道的 ROI 是否需要调整出价。
2026-05-23,项目A,核心指标总览,1,"今日 DAU 51,447，环比-4.2%；营收 $4,725.23（广告 $1,890.09 + IAP $2,835.14），环比+3.8%；ARPDAU $0.0918；eCPM $10.52；首日留存 36.9%，7日留存 14.7%。"
2026-05-23,项目A,关键变化解读,2,今日主要变化：美国市场 IAP 收入环比增长 8%。建议重点关注 IN 市场的 新增用户 变化，可能与 投放预算调整 有关。整体趋势向好，建议继续保持当前投放节奏。
2026-05-23,项目A,今日行动建议,3,1. 检查 US 的 D7 留存 是否持续下降；2. 确认 ios 端最新版本 v3.7.31 的留存数据；3. 评估 Google Ads US 投放渠道的 ROI 是否需要调整出价。
2026-05-24,项目A,核心指标总览,1,"今日 DAU 52,383，环比-4.2%；营收 $4,321.38（广告 $1,728.55 + IAP $2,592.83），环比-2.0%；ARPDAU $0.0825；eCPM $10.93；首日留存 32.1%，7日留存 11.2%。"
2026-05-24,项目A,关键变化解读,2,今日主要变化：印度市场新增用户量持续放大但 ARPDAU 偏低。建议重点关注 US 市场的 新增用户 变化，可能与 投放预算调整 有关。整体趋势平稳，暂不需要特别干预。
2026-05-24,项目A,今日行动建议,3,1. 检查 BR 的 eCPM 是否持续下降；2. 确认 android 端最新版本 v1.1.54 的留存数据；3. 评估 Facebook BR 投放渠道的 ROI 是否需要调整出价。
2026-05-25,项目A,核心指标总览,1,"今日 DAU 61,928，环比-1.8%；营收 $5,055.55（广告 $2,022.22 + IAP $3,033.33），环比+3.5%；ARPDAU $0.0816；eCPM $12.93；首日留存 37.5%，7日留存 10.6%。"
2026-05-25,项目A,关键变化解读,2,今日主要变化：巴西市场广告收入环比下降 5%，需关注填充率。建议重点关注 US 市场的 ARPDAU 变化，可能与 周末效应 有关。整体趋势需关注，建议明天重点排查数据波动原因。
2026-05-25,项目A,今日行动建议,3,1. 检查 IN 的 ARPU 是否持续下降；2. 确认 ios 端最新版本 v2.4.21 的留存数据；3. 评估 TikTok IN 投放渠道的 ROI 是否需要调整出价。
2026-05-26,项目A,核心指标总览,1,"今日 DAU 61,009，环比-1.2%；营收 $4,916.99（广告 $1,966.80 + IAP $2,950.19），环比-3.6%；ARPDAU $0.0806；eCPM $11.45；首日留存 32.5%，7日留存 10.2%。"
2026-05-26,项目A,关键变化解读,2,今日主要变化：eCPM 连续第3天上升，激励视频位表现突出。建议重点关注 VN 市场的 新增用户 变化，可能与 竞品活动影响 有关。整体趋势向好，建议继续保持当前投放节奏。
2026-05-26,项目A,今日行动建议,3,1. 检查 US 的 D7 留存 是否持续下降；2. 确认 android 端最新版本 v3.6.24 的留存数据；3. 评估 Google Ads US 投放渠道的 ROI 是否需要调整出价。
2026-05-27,项目A,核心指标总览,1,"今日 DAU 62,028，环比-2.6%；营收 $5,087.58（广告 $2,035.03 + IAP $3,052.55），环比+3.7%；ARPDAU $0.0820；eCPM $12.91；首日留存 37.6%，7日留存 13.5%。"
2026-05-27,项目A,关键变化解读,2,今日主要变化：美国市场 IAP 收入环比增长 8%。建议重点关注 PH 市场的 eCPM 变化，可能与 投放预算调整 有关。整体趋势向好，建议继续保持当前投放节奏。
2026-05-27,项目A,今日行动建议,3,1. 检查 BR 的 eCPM 是否持续下降；2. 确认 ios 端最新版本 v2.7.67 的留存数据；3. 评估 Facebook BR 投放渠道的 ROI 是否需要调整出价。
